Routes Data:
           route_id  agency_id route_short_name route_long_name  route_type
0      10-A10-j25-1          1              A10             NaN           2
1      10-A11-j25-1          1              A11             NaN           2
2      10-A12-j25-1          1              A12             NaN           2
3      10-A13-j25-1          1              A13             NaN           2
4      10-A14-j25-1          1              A14             NaN           2
5      10-A18-j25-1          1              A18             NaN           2
6      10-A19-j25-1          1              A19             NaN           2
7       10-A1-j25-1          1               A1             NaN           2
8      10-A21-j25-1          1              A21             NaN           2
9      10-A23-j25-1          1              A23             NaN           2
10      10-A3-j25-1          1               A3             NaN           2
11      10-A4-j25-1          1               A4             NaN           2
12     10-A62-j25-1          1              A62             NaN           2
13      10-A6-j25-1          1               A6             NaN           2
14      10-A7-j25-1          1               A7             NaN           2
15      10-A8-j25-1          1               A8             NaN           2
16     10-A92-j25-1          1              A92             NaN           2
17      10-A9-j25-1          1               A9             NaN           2
18     10-CH3-j25-1          1              CH3             NaN           2
19     10-D17-j25-1          1              D17             NaN           2
20      10-D9-j25-1          1               D9             NaN           2
21     10-HU1-j25-1          1              HU1             NaN           2
22     10-SI1-j25-1          1              SI1             NaN           2
23      10-SK-j25-1          1               SK             NaN           2
24   11-220-A-j25-1          1            220-A             NaN           2
25     12-A12-j25-1          1              A12             NaN           2
26     12-A15-j25-1          1              A15             NaN           2
27      12-A1-j25-1          1               A1             NaN           2
28     12-A-1-j25-1          1              A-1             NaN           2
29      12-A3-j25-1          1               A3             NaN           2
30     12-A85-j25-1          1              A85             NaN           2
31     12-A86-j25-1          1              A86             NaN           2
32     12-A88-j25-1          1              A88             NaN           2
33     12-A91-j25-1          1              A91             NaN           2
34     12-A92-j25-1          1              A92             NaN           2
35     12-A94-j25-1          1              A94             NaN           2
36     12-A99-j25-1          1              A99             NaN           2
37     12-CH1-j25-1          1              CH1             NaN           2
38     12-CH2-j25-1          1              CH2             NaN           2
39     12-CZ1-j25-1          1              CZ1             NaN           2
40     12-CZ3-j25-1          1              CZ3             NaN           2
41     12-CZ4-j25-1          1              CZ4             NaN           2
42     12-D10-j25-1          1              D10             NaN           2
43     12-D11-j25-1          1              D11             NaN           2
44     12-D16-j25-1          1              D16             NaN           2
45     12-D19-j25-1          1              D19             NaN           2
46      12-D1-j25-1          1               D1             NaN           2
47      12-D3-j25-1          1               D3             NaN           2
48      12-D5-j25-1          1               D5             NaN           2
49      12-D9-j25-1          1               D9             NaN           2
50     12-HU1-j25-1          1              HU1             NaN           2
51      12-I3-j25-1          1               I3             NaN           2
52     12-SI1-j25-1          1              SI1             NaN           2
53     12-SI2-j25-1          1              SI2             NaN           2
54   13-101-D-j25-1          1            101-D             NaN           2
55     13-A10-j25-1          1              A10             NaN           2
56     13-A12-j25-1          1              A12             NaN           2
57     13-A13-j25-1          1              A13             NaN           2
58     13-A14-j25-1          1              A14             NaN           2
59     13-A17-j25-1          1              A17             NaN           2
